,Levee1,Levee2,Levee3,Levee4,Levee5
2020,1.0,1.0,1.0,1.0,1.0
2021,570.0,747.0,900.0,1656.0,2482.0
2022,341.0,955.0,740.0,1106.0,2581.0
2023,385.0,597.0,620.0,1093.0,1591.0
2024,374.0,557.0,670.0,778.0,1443.0
2025,220.0,476.0,540.0,725.0,1371.0
2026,214.0,369.0,470.0,867.0,1203.0
2027,365.0,552.0,518.0,647.0,1263.0
2028,345.0,588.0,522.0,860.0,1326.0
2029,281.0,274.0,442.0,830.0,770.0
2030,245.0,445.0,604.0,761.0,1088.0
2031,135.0,315.0,450.0,550.0,611.0
2032,301.0,495.0,508.0,748.0,986.0
2033,314.0,389.0,410.0,585.0,554.0
2034,323.0,377.0,434.0,558.0,749.0
2035,290.0,447.0,328.0,612.0,675.0
2036,303.0,460.0,574.0,594.0,578.0
2037,293.0,448.0,488.0,552.0,604.0
2038,238.0,449.0,398.0,541.0,843.0
2039,200.0,386.0,390.0,474.0,708.0
2040,123.0,372.0,238.0,624.0,738.0
2041,225.0,308.0,404.0,601.0,561.0
2042,300.0,396.0,466.0,625.0,593.0
2043,204.0,422.0,404.0,700.0,682.0
2044,154.0,362.0,366.0,471.0,625.0
2045,112.0,307.0,318.0,369.0,396.0
2046,109.0,163.0,200.0,490.0,373.0
2047,254.0,375.0,474.0,541.0,738.0
2048,235.0,287.0,472.0,508.0,454.0
2049,191.0,239.0,278.0,441.0,410.0
2050,119.0,292.0,292.0,418.0,472.0
2051,96.0,262.0,260.0,396.0,443.0
2052,217.0,458.0,336.0,483.0,552.0
2053,166.0,214.0,324.0,325.0,515.0
2054,145.0,341.0,376.0,442.0,652.0
2055,232.0,337.0,372.0,506.0,690.0
2056,160.0,321.0,304.0,401.0,454.0
2057,192.0,337.0,282.0,412.0,568.0
2058,271.0,457.0,372.0,617.0,566.0
2059,248.0,269.0,466.0,536.0,694.0
2060,228.0,436.0,402.0,658.0,574.0
2061,230.0,259.0,292.0,498.0,423.0
2062,197.0,264.0,384.0,491.0,525.0
2063,208.0,492.0,190.0,340.0,381.0
2064,206.0,243.0,232.0,272.0,387.0
2065,247.0,387.0,374.0,345.0,380.0
2066,205.0,314.0,230.0,307.0,313.0
2067,387.0,398.0,330.0,438.0,375.0
2068,224.0,273.0,278.0,289.0,325.0
2069,177.0,233.0,308.0,356.0,399.0
2070,154.0,286.0,258.0,440.0,308.0
2071,145.0,185.0,154.0,457.0,310.0
2072,264.0,322.0,360.0,518.0,386.0
2073,174.0,256.0,270.0,279.0,331.0
2074,175.0,302.0,244.0,364.0,310.0
2075,134.0,188.0,286.0,221.0,241.0
2076,268.0,261.0,254.0,482.0,252.0
2077,207.0,233.0,258.0,382.0,371.0
2078,137.0,252.0,264.0,282.0,305.0
2079,200.0,240.0,250.0,447.0,206.0
2080,182.0,358.0,264.0,188.0,171.0
2081,172.0,201.0,220.0,280.0,305.0
2082,184.0,311.0,338.0,258.0,278.0
2083,40.0,167.0,80.0,197.0,110.0
2084,154.0,165.0,150.0,261.0,170.0
2085,140.0,219.0,106.0,231.0,190.0
2086,144.0,139.0,152.0,341.0,255.0
2087,57.0,258.0,164.0,368.0,142.0
2088,211.0,204.0,100.0,201.0,96.0
2089,70.0,260.0,210.0,210.0,182.0
2090,115.0,129.0,188.0,233.0,210.0
2091,117.0,347.0,200.0,203.0,250.0
2092,145.0,185.0,260.0,356.0,297.0
2093,105.0,198.0,270.0,210.0,251.0
2094,184.0,186.0,80.0,199.0,136.0
2095,140.0,231.0,262.0,167.0,195.0
2096,179.0,242.0,210.0,226.0,201.0
2097,90.0,176.0,120.0,154.0,92.0
2098,88.0,176.0,120.0,211.0,159.0
2099,78.0,161.0,154.0,131.0,263.0
2100,1.0,1.0,1.0,1.0,1.0
