,Sites1,Sites2,Sites3
2020,1.0,3.0,1.2
2021,1483.0,1029.6,460.79999999999995
2022,1017.0,762.0,333.59999999999997
2023,1078.0,567.0,333.59999999999997
2024,648.0,441.0,261.59999999999997
2025,565.0,419.09999999999997,356.4
2026,605.0,481.80000000000007,368.28000000000003
2027,620.0,564.3000000000001,365.11199999999997
2028,675.0,445.50000000000006,354.02400000000006
2029,518.0,326.7,266.904
2030,508.0,486.0,612.0
2031,371.0,320.4,326.87999999999994
2032,557.0,492.47999999999996,444.96
2033,462.0,321.84,450.71999999999997
2034,392.0,357.11999999999995,401.76
2035,304.0,330.72,589.6800000000001
2036,495.0,436.02000000000004,626.4
2037,433.0,372.84,533.52
2038,284.0,327.59999999999997,334.8
2039,324.0,342.42,434.16
2040,336.0,449.388,564.4799999999999
2041,347.0,389.81999999999994,564.4799999999999
2042,376.0,324.11999999999995,694.0799999999999
2043,295.0,449.388,581.7599999999999
2044,327.0,379.30799999999994,915.8399999999999
2045,202.0,438.48,889.1999999999999
2046,170.0,346.5,370.8
2047,388.0,449.82,986.4
2048,327.0,403.2,788.4
2049,257.0,408.23999999999995,734.4
2050,233.0,459.9,928.8
2051,218.0,298.62,500.4
2052,253.0,551.88,853.1999999999999
2053,249.0,371.7,655.1999999999999
2054,305.0,448.56,813.6
2055,241.0,439.73999999999995,968.4
2056,156.0,302.4,626.4
2057,284.0,490.14000000000004,572.4
2058,263.0,669.0600000000001,1137.6
2059,284.0,609.84,939.5999999999999
2060,248.0,545.58,892.8
2061,184.0,342.72,565.1999999999999
2062,263.0,415.8,640.8
2063,178.0,315.0,507.59999999999997
2064,228.0,289.8,770.4
2065,223.0,340.2,799.1999999999999
2066,166.0,258.3,597.6
2067,187.0,294.84000000000003,630.0
2068,140.0,346.5,352.8
2069,203.0,354.06,475.2
2070,191.0,279.72,345.59999999999997
2071,122.0,303.66,388.8
2072,268.0,437.22,612.0
2073,235.0,393.12,414.0
2074,165.0,241.92000000000002,316.8
2075,202.0,244.44,475.2
2076,257.0,371.7,673.1999999999999
2077,183.0,327.59999999999997,468.0
2078,281.0,270.9,442.8
2079,119.0,270.9,446.4
2080,207.0,105.84,234.0
2081,146.0,340.2,378.0
2082,175.0,371.7,536.4
2083,146.0,138.6,273.59999999999997
2084,232.0,304.92,460.79999999999995
2085,154.0,144.9,255.6
2086,132.0,176.4,352.8
2087,83.0,264.59999999999997,338.4
2088,116.0,175.14000000000001,270.0
2089,253.0,378.0,374.4
2090,101.0,201.6,187.2
2091,173.0,207.9,349.2
2092,213.0,254.52,435.59999999999997
2093,140.0,151.2,507.59999999999997
2094,102.0,151.2,208.79999999999998
2095,134.0,201.6,468.0
2096,217.0,333.9,414.0
2097,62.0,182.7,288.0
2098,130.0,272.16,216.0
2099,103.0,207.9,421.2
2100,1.0,1.2,1.2
