,OpPolA,OpPolB
2020,5.25,2.4
2021,468.29999999999995,254.39999999999998
2022,273.0,160.79999999999998
2023,341.24999999999994,136.79999999999998
2024,235.2,112.8
2025,162.75,96.0
2026,257.25,110.39999999999999
2027,262.5,133.92000000000002
2028,210.0,103.2
2029,204.75,105.6
2030,192.0,112.8
2031,129.60000000000002,115.8
2032,268.8,117.0
2033,175.20000000000002,85.2
2034,210.0,85.2
2035,186.0,133.44
2036,154.8,111.36000000000001
2037,153.60000000000002,169.92
2038,132.0,151.68
2039,206.39999999999998,132.48
2040,118.80000000000001,100.8
2041,236.40000000000003,120.96000000000001
2042,249.60000000000002,209.28
2043,214.8,112.32000000000001
2044,156.0,135.36
2045,123.0,92.39999999999999
2046,79.5,78.0
2047,339.0,194.4
2048,271.5,177.6
2049,112.5,117.6
2050,226.5,141.6
2051,220.5,193.2
2052,126.0,133.2
2053,85.5,152.4
2054,222.0,180.0
2055,261.0,168.0
2056,144.0,94.8
2057,213.0,103.2
2058,304.5,201.6
2059,283.5,130.79999999999998
2060,259.5,175.2
2061,220.5,124.8
2062,240.0,104.39999999999999
2063,288.0,152.4
2064,286.5,142.79999999999998
2065,208.5,151.2
2066,190.5,116.39999999999999
2067,322.5,184.79999999999998
2068,246.0,43.199999999999996
2069,252.0,135.6
2070,280.5,121.19999999999999
2071,232.5,123.6
2072,252.0,210.0
2073,261.0,136.79999999999998
2074,159.0,118.8
2075,183.0,99.6
2076,253.5,116.39999999999999
2077,214.5,135.6
2078,202.5,145.2
2079,232.5,156.0
2080,268.5,94.8
2081,183.0,110.39999999999999
2082,342.0,166.79999999999998
2083,153.0,92.39999999999999
2084,288.0,164.4
2085,151.5,105.6
2086,259.5,86.39999999999999
2087,223.5,136.79999999999998
2088,186.0,124.8
2089,339.0,127.19999999999999
2090,171.0,60.0
2091,214.5,90.0
2092,264.0,115.19999999999999
2093,295.5,114.0
2094,132.0,120.0
2095,172.5,116.39999999999999
2096,283.5,94.8
2097,144.0,33.6
2098,169.5,141.6
2099,160.5,104.39999999999999
2100,1.0,1.0
