,Demand70,Demand80,Demand90
2020,1.0,1.0,1.0
2021,655.0,130.0,62.0
2022,810.0,57.0,96.0
2023,715.0,80.0,83.0
2024,635.0,163.0,72.0
2025,435.0,75.0,40.0
2026,590.0,92.0,77.0
2027,450.0,145.0,76.0
2028,445.0,127.0,92.0
2029,360.0,85.0,79.0
2030,560.0,205.0,98.0
2031,222.0,75.0,55.0
2032,492.0,188.0,86.0
2033,313.0,132.0,110.0
2034,393.0,192.0,85.0
2035,334.0,133.0,76.0
2036,311.0,205.0,173.0
2037,291.0,233.0,128.0
2038,216.0,150.0,95.0
2039,350.0,156.0,170.0
2040,268.0,142.0,58.0
2041,209.0,169.0,115.0
2042,307.0,215.0,109.0
2043,434.0,231.0,117.0
2044,418.0,238.0,144.0
2045,236.0,190.0,106.0
2046,297.0,145.0,111.0
2047,317.0,191.0,132.0
2048,320.0,214.0,129.0
2049,221.0,145.0,75.0
2050,265.0,197.0,174.0
2051,326.0,275.0,144.0
2052,425.0,176.0,190.0
2053,341.0,118.0,121.0
2054,451.0,291.0,219.0
2055,379.0,283.0,115.0
2056,415.0,160.0,163.0
2057,466.0,250.0,121.0
2058,505.0,375.0,256.0
2059,525.0,293.0,243.0
2060,467.0,323.0,233.0
2061,373.0,283.0,142.0
2062,379.0,350.0,206.0
2063,393.0,320.0,151.0
2064,386.0,436.0,156.0
2065,376.0,270.0,211.0
2066,299.0,274.0,191.0
2067,386.0,321.0,196.0
2068,342.0,226.0,171.0
2069,305.0,323.0,186.0
2070,331.0,284.0,207.0
2071,384.0,235.0,226.0
2072,510.0,454.0,223.0
2073,371.0,343.0,240.0
2074,318.0,236.0,165.0
2075,305.0,334.0,132.0
2076,481.0,389.0,196.0
2077,414.0,321.0,192.0
2078,331.0,314.0,272.0
2079,375.0,303.0,197.0
2080,262.0,216.0,179.0
2081,417.0,281.0,232.0
2082,376.0,293.0,236.0
2083,196.0,206.0,148.0
2084,254.0,231.0,213.0
2085,193.0,182.0,175.0
2086,332.0,167.0,151.0
2087,290.0,256.0,143.0
2088,175.0,177.0,101.0
2089,275.0,281.0,203.0
2090,163.0,136.0,102.0
2091,301.0,258.0,142.0
2092,409.0,361.0,186.0
2093,305.0,277.0,179.0
2094,183.0,153.0,125.0
2095,223.0,253.0,129.0
2096,309.0,312.0,191.0
2097,164.0,159.0,145.0
2098,141.0,105.0,146.0
2099,210.0,141.0,73.0
2100,1.0,1.0,1.0
